x,y
4.99029246762308,4.234789133023325
5.63592062088108,6.272213789319689
4.727862826371822,5.755567232977511
5.918657236083493,5.447828259569666
3.863893088851896,4.143735749849505
6.150523171717758,6.4082840545778685
3.956498510168039,3.477921065546572
4.906760299520931,4.057373384365026
4.573540022711141,5.663375559161574
4.165504875052345,5.454774737767981
3.5223074750476524,5.741047152248495
6.463851407496266,6.246658057435301
6.447358403482742,5.431109229024493
5.788383754087867,5.956109576139088
4.590289679046538,5.017745604041655
6.134711384572709,5.810486565574418
5.36716287662632,6.303044432898036
5.860529882543912,5.646817730548031
4.822574725158918,4.206946050661353
3.6010437717417365,5.197123507274886
4.384899366243629,5.2865102808120366
7.0101611259801455,6.581109199132295
5.366353734559164,4.313388656158857
4.290200122431526,5.350140678490677
7.222283684711636,6.033210818907788
4.6097371478417,5.070156877281748
4.305358905849616,4.416248384737384
4.148578178824316,5.052058887364997
5.663224287940589,5.054638201934168
5.046187051957018,5.245674994234431
5.7669601826856,5.373202866212388
4.576704773095775,4.734455554125491
6.0310413116540875,4.289972001591439
5.48803999395019,4.5180360264411465
4.302985979909816,3.9942648266313086
5.893533905693134,5.831990631813085
3.584133954159507,4.214949803304126
5.472593690370801,4.1464986313239445
3.906466705840937,3.284839531805034
4.3540008489830235,4.028637970631609
3.6212598586224196,4.928133954497694
4.060769179240615,4.816624139000555
5.302233733769968,4.8682675916971565
5.050187074219993,4.710272568450776
3.3595180533704037,2.3671597668798894
3.873570328406368,4.390767162945381
4.060981778183726,5.540867878097567
5.0590510060020994,4.424144086259684
4.8389432166955455,4.655764947790317
4.157605875654795,4.970679507284293
5.146323923170778,6.3416600411735935
4.998942779735708,5.442556702417887
4.281941852285523,4.649330542916154
5.33878953905272,4.850191957060056
4.450370110538734,6.015542043067611
6.10948399981957,5.390240661856604
5.593029327751822,5.728783207669487
6.99721358104522,5.643653724910827
5.869881237232161,4.582105791933923
6.684795802376692,5.404527393013752
5.3675639939156214,6.098810500586028
3.212832184790936,5.131833078009542
2.976670456472215,3.7629831663526625
4.044453981377225,4.175556072063142
3.577982307531152,5.521585355714323
4.101900936778485,5.255139515323724
6.142291591224959,5.4760528669667305
4.6547739655290705,4.8047056355924616
4.333189963001494,6.740567546932713
5.071891647558646,4.629166595373984
4.85598089250787,4.881407595119504
5.63421673030639,4.040499714955358
3.2067266302181334,4.555556050657284
3.5639489804363063,3.889380738972604
4.859388046375107,3.9931610983678576
4.152794169192688,4.4045818760866275
4.966351479393581,5.831096171034422
4.187285765883077,4.24789460155801
5.136208054999016,4.1044910430654555
4.37277815582576,3.4739649677908586
5.579758709002399,5.6420743544329355
3.4778262683275463,4.591774901543207
4.617671564006592,5.390684926260404
6.8224275206603515,6.1031075305307985
4.979202381681867,6.231415291441685
4.340726476276129,4.52537925218073
3.9718406395718695,5.540179915601994
5.804413568669258,4.490346260135217
3.9675418328390286,4.14938087004409
4.19647850353195,4.151713696145443
5.5249155728739545,5.92773729395693
4.898716988815413,5.083659271689822
4.1493601237783055,3.050657646393605
5.1618855216911195,4.342888831532443
7.2679612169045615,7.218996027882337
4.661372296982783,5.284894399933543
5.932895992193965,4.443895637069993
5.053767220433864,6.370726057120567
4.932928275435004,6.5161538051275105
4.249577231226585,3.931796626890515
5.1074445920515466,6.155357561182125
5.981460328158393,4.435810188458435
4.304387797640949,4.721651245499135
3.839920026725726,4.189515026086022
4.840735812731954,6.1104146523340885
3.6995485765772367,3.9327545405624442
5.609395201162085,4.28612417805698
5.145748424960614,5.906518066919967
6.211037831839382,4.75419996244606
2.7041840048938672,1.2407780464671792
3.1993076829611775,2.891884238362918
5.409372841572539,4.73709456938494
5.041930234865444,3.6021560217553596
5.788685932011623,7.398857461390229
5.3232164615385145,6.069304581078199
5.585822015837027,6.29424305873161
3.805566656313073,3.278445270897957
5.830012158542809,7.518806071852714
4.434634504334016,3.9610632705627085
5.74407811306247,4.633425916812784
4.037379220509626,3.502663612698981
6.121814693325746,6.3354605748382165
6.259800706652621,5.229786130789513
5.329299178855119,5.41565449435549
5.503501671430534,6.888650596642858
4.596243982318038,4.230880991545307
5.826931133934732,5.737705681018068
3.8487743920518134,4.5933584192514925
4.323497131284364,3.843119640304043
6.90915391039495,8.156965108311198
